lat,lng
35.272486,139.011840
35.594573,139.136992
35.615536,139.152282
35.636898,139.526004
35.634549,139.535021
35.607528,139.622473
35.540978,139.753158
35.227552,139.711501
35.141258,139.616101
35.141222,139.092049
35.142164,139.085649
35.147723,139.072050
35.190776,139.025948
